Provinsi,IKU,Tahun,Sumber
Sulawesi Barat,97.0,2015,data/raw/klhk_iku/
Sulawesi Tengah,73.0,2015,data/raw/klhk_iku/
Sulawesi Utara,90.0,2015,data/raw/klhk_iku/
Gorontalo,77.0,2016,data/raw/klhk_iku/
Sulawesi Barat,97.0,2016,data/raw/klhk_iku/
Sulawesi Tengah,73.0,2016,data/raw/klhk_iku/
Gorontalo,90.24,2017,data/raw/klhk_iku/
Sulawesi Barat,86.58,2017,data/raw/klhk_iku/
Sulawesi Selatan,87.98,2017,data/raw/klhk_iku/
Sulawesi Tengah,87.96,2017,data/raw/klhk_iku/
Sulawesi Tenggara,86.5,2017,data/raw/klhk_iku/
Sulawesi Utara,83.97,2017,data/raw/klhk_iku/
Gorontalo,88.3,2018,data/raw/klhk_iku/
Sulawesi Barat,89.2,2018,data/raw/klhk_iku/
Sulawesi Selatan,76.8,2018,data/raw/klhk_iku/
Sulawesi Tengah,89.1,2018,data/raw/klhk_iku/
Sulawesi Tenggara,83.6,2018,data/raw/klhk_iku/
Sulawesi Utara,92.7,2018,data/raw/klhk_iku/
Gorontalo,86.88,2019,data/raw/klhk_iku/
Sulawesi Barat,89.97,2019,data/raw/klhk_iku/
Sulawesi Selatan,89.6,2019,data/raw/klhk_iku/
Sulawesi Tengah,92.98,2019,data/raw/klhk_iku/
Sulawesi Tenggara,90.01,2019,data/raw/klhk_iku/
Sulawesi Utara,92.41,2019,data/raw/klhk_iku/
Gorontalo,93.89,2020,data/raw/klhk_iku/
Sulawesi Barat,89.72,2020,data/raw/klhk_iku/
Sulawesi Selatan,88.73,2020,data/raw/klhk_iku/
Sulawesi Tengah,91.8,2020,data/raw/klhk_iku/
Sulawesi Tenggara,91.21,2020,data/raw/klhk_iku/
Sulawesi Utara,90.53,2020,data/raw/klhk_iku/
Gorontalo,93.96,2021,data/raw/klhk_iku/
Sulawesi Barat,90.97,2021,data/raw/klhk_iku/
Sulawesi Selatan,89.13,2021,data/raw/klhk_iku/
Sulawesi Tengah,91.33,2021,data/raw/klhk_iku/
Sulawesi Tenggara,90.89,2021,data/raw/klhk_iku/
Sulawesi Utara,91.27,2021,data/raw/klhk_iku/
Gorontalo,94.47,2022,data/raw/klhk_iku/
Sulawesi Barat,91.88,2022,data/raw/klhk_iku/
Sulawesi Selatan,90.35,2022,data/raw/klhk_iku/
Sulawesi Tengah,91.86,2022,data/raw/klhk_iku/
Sulawesi Tenggara,92.05,2022,data/raw/klhk_iku/
Sulawesi Utara,92.41,2022,data/raw/klhk_iku/
Gorontalo,94.43,2023,data/raw/klhk_iku/
Sulawesi Barat,93.33,2023,data/raw/klhk_iku/
Sulawesi Selatan,90.58,2023,data/raw/klhk_iku/
Sulawesi Tengah,91.88,2023,data/raw/klhk_iku/
Sulawesi Tenggara,92.83,2023,data/raw/klhk_iku/
Sulawesi Utara,91.07,2023,data/raw/klhk_iku/
Gorontalo,93.5,2024,data/raw/klhk_iku/
Sulawesi Barat,92.5,2024,data/raw/klhk_iku/
Sulawesi Selatan,91.5,2024,data/raw/klhk_iku/
Sulawesi Tengah,92.93,2024,data/raw/klhk_iku/
Sulawesi Tenggara,93.0,2024,data/raw/klhk_iku/
Sulawesi Utara,93.44,2024,data/raw/klhk_iku/
